caption,file_name_1,file_name_2,file_name_3,file_name_4,file_name_5,file_name_6,file_name_7,file_name_8,file_name_9,file_name_10
A liquid continuously being poured out and hitting a bottom base.,gotes lent.wav,"Water - Leak, small.wav",gotes mig.wav,gootsteen.wav,Water_bubbles_stereo_StereoPiezo_44_24.wav,Washing and scrubbing.wav,drainage pipe running.wav,WATER DRIP 2 ECHO LOW PITCH.wav,lavar platos.wav,WaterRunning.wav
Water coming out of a shower head and hitting the floor.,WATER SHOWER 001.wav,shower short.wav,Water_Falling_Bathtub_Drain.wav,sink1.wav,gully with water drips.wav,lavar platos.wav,gotes mig.wav,Tap Water Open.wav,Sink_on_off.wav,bathroomSink1.wav
A grass cutter is roaring very loudly when revving up the engine.,motors-moteurs.wav,F-1-race-cars-restart-1stLap-Turn11-DR081.wav,Boulevard with motorbike.wav,25_MIXER.wav,Oxford Cambridge boat race 2010.wav,street.wav,Engine Reving.wav,Outside Sound.wav,bumble bee web.wav,german motorway or the autobahn.wav
Heavy machinery is being used inside a building.,dumpster truck.wav,ambiant hangar sound.wav,Roof with fans.wav,20091217.05.street.cleaning.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,bath room fan.wav,refrigerator buzzing.wav,City Street.wav,NY 176andSt.Nicholas AMB.wav,Apartment Ambiance 2.wav
"Calm water flows down stream, two rocks clash.",WS RunningWater.wav,White Water.wav,river_small_close_01.wav,burton_waterfall_02.wav,Running water 20121021T2335.wav,Loch-Ness-At-night.wav,20130825-Water-fountain-Slavonice.wav,131227_strumyk_2.wav,Water on tarp 2.wav,waves and that helicopter.wav
Large and stormy gusts of wind are blowing repeatedly.,"Wind in a tree, close to the foliage.wav",RainFallsonUmbrellaMcCoy.wav,Heavy wind and rain.wav,leaves_on_the_wind.wav,Heavy Rain tin roof.wav,Rain 02 091012.wav,20100110.rain.marshes.wav,13_Rain_onGrassStone_Gutter_44_16.wav,md1trk18.wav,plastic foil (outdoor recording).wav
A person is urinating into a toilet bowl full of water.,Draining Kitchen Sink by Fajack.wav,Taps in the Bath.wav,sink1.wav,dishwasher01.wav,Toilet 2.wav,Shower Turn on - Turn off.wav,"Toilet flushing, water filling bowl.wav",Toilet Flush Krucifix Productions Sound Effects.wav,tub faucet and drain.wav,Dropping water.wav
"A vehicle motor runs, grows quiet, then revs up twice.",Engine Reving.wav,Diesel truck and small car.wav,Crossroads with traffic lights #1.wav,motors-moteurs.wav,Boulevard with motorbike.wav,german motorway or the autobahn.wav,City Street.wav,psikedelic.wav,110719_glasgowdemolish.wav,tata_hungary__ady_endre_road_20080718.wav
Water is poured and a buzzing machine is turned on.,dishwasher01.wav,Espresso Machine.wav,Water_Falling_Bathtub_Drain.wav,gootsteen.wav,shower short.wav,Shower Turn on - Turn off.wav,Plastic Rain Barrel long.wav,bathroomSink1.wav,"Water - Leak, small.wav",sink1.wav
someone is going up to the stairs and tacking shoes off,Walking on Wood Floor.wav,door walking exit.wav,Footsteps on Wood floor 1.wav,Footsteps Dirt 02.wav,echo_ljubljana_castle.wav,Walking Downstairs.wav,foley footsteps walking in room indoors.wav,Foley Man Collapsing.wav,Schritte_BootsTeppich.wav,FootstepsOnaDock.wav
A door is shut and knuckles are rapped against it.,fist bang 2.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,closing washing machine.wav,Auto_Door_Open_Close.wav,hits_bathroomStomp.wav,150209 Trevor Webb Snooker.wav,Opening Closing old oven.wav,PaperTossOnDesk.wav,door walking exit.wav,echo_ljubljana_castle.wav
A supersonic fighter jet passes by in the sky.,Tornado Left To  Right.wav,5_Navy-Blue-Angels-jets_CLIP.wav,airliner_ascend.wav,2009-07-23_1554_Serralves Park Airplane flying by.wav,treinREM2.wav,Landing Jet 3.wav,Synth Wind.wav,spaced.wav,Ambience of the battle field2.wav,Mouth Wind Howling.wav
Stones are being moved against another surface and makes a chime like noise.,Bell Ring.R.wav,Key Jingling.wav,Bell from large rabbit plush.wav,bikebell.wav,Rustling keys.wav,abandoned-ballroom-objects-wood-metal.wav,Bell7.wav,wine_glasses_drying_bottom_up (miroslawski.net).wav,Glasses Kitchen_IO.wav,steps in the station.wav
someone is flushing the toilet and the water is filling.,Draining Kitchen Sink by Fajack.wav,Shower Turn on - Turn off.wav,"Toilet flushing, water filling bowl.wav",Toilet 2.wav,FLUSH .wav,Toilet Flush Krucifix Productions Sound Effects.wav,sink1.wav,Plastic Rain Barrel long.wav,Dropping water.wav,dishwasher01.wav
a bird is singing in the night on a busy road.,Neighbourhood Ambiance.wav,Morning Ambience city.wav,spider_monkeys.wav,ambient_sound.wav,Birds and Nature.wav,screech_owl.wav,Cicada.1.45.wav,street.wav,004-Ambient Recording at Saint-Augustin (FR 7pm in October).wav,pineforest winter NL SHORT 130110_00.wav
Some people are talking and the rain is pouring down.,Fountain at place pigale - Paris - France.wav,20110823_mountain.01.wav,"Rain next to open window, dog barks in the distance.wav",rainy morning in town.wav,Oxford Cambridge boat race 2010.wav,Rain 02 091012.wav,RainFallsonUmbrellaMcCoy.wav,rainy alleyway.wav,Heavy Rain tin roof.wav,maastricht town sounds.wav
Someone has struck a match and is lighting pilot light.,Match being lit.wav,160170_Gravel_OWI.wav,Melon Stabs (Juicy).wav,Fire Crackle with Roaring Chimney.wav,Mascara.wav,rockonice.wav,soda can_pop.wav,opening and swallowing pills.wav,envelope.wav,Popcorn Foley.wav
An item is being scrubbed with a cleaning tool with bristles.,ambiant hangar sound.wav,Ambient washing dishes.wav,Blinds being opened and closed quickly and slowly.wav,closing washing machine.wav,indoors WC bathroom ambient room tone.wav,kitchen indoor atmosphere.wav,lift_relais.wav,different variations of taring material.wav,Walking Downstairs.wav,entering shower moving curtain raffle raffling foley VARIOUS TAKES.wav
someone is moving the hangers in the wardrobe.,butter_toast_2x.wav,Blinds being opened and closed quickly and slowly.wav,Mascara.wav,RKeaton_EMF366_3_Water In Glass Bottle with Metal Cap.wav,Gun Cleaning.wav,Metal coat hanger on steel hook.wav,Gun Handling.wav,md3trk14.wav,Tool Box.wav,plants-watering.wav
Continuous very loud metal bell ringing over and over again.,templebell.wav,Carillon Servaas Church 100411.wav,cowbells1.wav,Bell Ring.R.wav,20060730.bells.wav,20090419.san.pedro.bells.wav,Marble Church.wav,More china bowl.wav,Wine glass hits.wav,church bell_ljubljana.wav
"Multiple birds are singing outside, a breeze passes leaves.",Rain And Birds Chirping Krucifix Productions Sound Effects.wav,Sk310308 chaffinch crow.wav,The Commons.wav,Birds and insects in the wetlands of Melissant.wav,In an English Suburban Garden.wav,ambient_sound.wav,spider_monkeys.wav,pineforest winter NL SHORT 130110_00.wav,Spring Birds in Finnish forest.wav,20070628.casual.ambiance.wav
A car slowly passes by and then more pass by afterwards.,traffic_night_street.wav,tata_hungary__ady_endre_road_20080718.wav,german motorway or the autobahn.wav,Highway Traffic_1-2.wav,Japan_Yukinoura_Bamboo_Forest_and_Road_.wav,Diesel truck and small car.wav,Crossroads with traffic lights #1.wav,street.wav,traffic at green light.wav,Boulevard with motorbike.wav
